key,section,hu_text,de_text,de_status
objektumorzes:seoTitleHu,meta.title,Élőerős objektumőrzés vállalatoknak | Avenir,Objektschutz vor Ort für Unternehmen | Avenir,translated_draft
objektumorzes:seoDescriptionHu,meta.description,"Objektumőrzés beléptetéssel, járőrözéssel, incidenskezeléssel és riportálással. Helyszínre szabott protokollok vállalati helyszínekre.","Objektschutz mit Zutrittskontrolle, Kontrollgängen, Vorfallbearbeitung und Berichtswesen. Standortspezifische Protokolle für Unternehmensstandorte.",translated_draft
objektumorzes:nameHu,hero.h1,Élőerős objektumőrzés,Objektschutz vor Ort,translated_draft
objektumorzes:valuePropositionHu,hero.subhead,"Helyszínre szabott objektumőrzéssel támogatjuk a telephelyek, irodaházak, logisztikai és ipari helyszínek biztonsági rendjét: beléptetés, kiléptetés, járőrözés, incidenskezelés, szolgálati napló és egyeztetett eszkaláció alapján.","Mit standortgerechtem Objektschutz unterstützen wir die Sicherheitsordnung von Betriebsgeländen, Bürogebäuden, Logistik- und Industriestandorten: auf Basis von Zutritts- und Austrittskontrolle, Kontrollgängen, Vorfallbearbeitung, Dienstbuch und abgestimmter Eskalation.",translated_draft
objektumorzes:PILOT_HU.longDesc.body.0,body.1,"Az élőerős objektumőrzés célja nem pusztán az őri jelenlét biztosítása, hanem a helyszínhez igazított vagyonvédelmi rend kialakítása. Avenir a helyszíni felmérés alapján szolgálati utasítást készít: meghatározza a belépési és kilépési pontokat, a látogatók és beszállítók kezelését, a járőrútvonalakat, a kulcskezelési szabályokat, az incidensek dokumentálását és az eszkalációs rendet.","Ziel des Objektschutzes vor Ort ist nicht allein die Präsenz von Sicherheitspersonal, sondern der Aufbau einer auf den Standort zugeschnittenen Sicherheitsordnung. Auf Grundlage einer Begehung vor Ort erstellt Avenir eine Dienstanweisung: Sie legt die Zutritts- und Austrittspunkte, den Umgang mit Besuchern und Lieferanten, die Routen der Kontrollgänge, die Regeln der Schlüsselverwaltung, die Dokumentation von Vorfällen und die Eskalationsordnung fest.",translated_draft
objektumorzes:PILOT_HU.longDesc.body.1,body.2,"A szolgálat összekapcsolható a megrendelő meglévő kamerarendszerével, beléptető rendszerével vagy riasztási folyamatával. A cél, hogy a megrendelő ne csak jelenlétet kapjon, hanem visszakövethető működést: szolgálati naplóval, eseményjelentéssel, rendszeres egyeztetéssel és kijelölt felelős kapcsolattartóval.","Der Dienst kann mit dem vorhandenen Kamerasystem, der Zutrittskontrollanlage oder dem Alarmprozess des Auftraggebers verknüpft werden. Ziel ist, dass der Auftraggeber nicht nur Präsenz erhält, sondern einen nachvollziehbaren Betrieb: mit Dienstbuch, Ereignisberichten, regelmäßiger Abstimmung und einem benannten verantwortlichen Ansprechpartner.",translated_draft
objektumorzes:PILOT_HU.longDesc.body.2,body.3,"A vagyonőri jelenlét a helyszín kockázati profiljához és a szerződéses igényhez igazodik: fegyver nélküli, vagy a jogszabályi feltételek teljesülése esetén fegyveres vagyonőri szolgáltatás is kialakítható. Az Avenir a szolgáltatást az alkalmazandó magyar személy- és vagyonvédelmi szabályozási keret szerint nyújtja.",Die Präsenz des Sicherheitspersonals richtet sich nach dem Risikoprofil des Standorts und dem vertraglichen Bedarf: Es kann ein unbewaffneter oder — bei Erfüllung der gesetzlichen Voraussetzungen — ein bewaffneter Sicherheitsdienst eingerichtet werden. Avenir erbringt die Leistung nach dem anwendbaren ungarischen Regulierungsrahmen für Personen- und Vermögensschutz.,legal_review_required
objektumorzes:hu.serviceDetail.useCasesEyebrow,useCases.eyebrow,KINEK AJÁNLJUK,EMPFOHLEN FÜR,translated_draft
objektumorzes:hu.serviceDetail.useCasesTitle,useCases.title,Kinek jó,Für wen geeignet,translated_draft
objektumorzes:PILOT_HU.useCases.0,useCases.0,"Logisztikai központok, raktárak és teherkapus helyszínek","Logistikzentren, Lager und Standorte mit Lkw-Toren",translated_draft
